Age,Gender,Education,Person Income,Employee Experience,Home Ownership,Loan Amount,Loan Intent,Loan interest Rate,Loan percentage,Credit History,Credit Score,Is Rejected
22,male,Master,57007,0,MORTGAGE,15000,DEBTCONSOLIDATION,12.86,0.26,4,622,1
23,female,Bachelor,63604,0,MORTGAGE,15000,VENTURE,16.49,0.24,2,611,0
22,female,Associate,56560,0,MORTGAGE,9500,DEBTCONSOLIDATION,12.69,0.17,4,616,1
22,male,Bachelor,63919,0,MORTGAGE,4000,DEBTCONSOLIDATION,10.65,0.06,4,537,0
22,female,High School,55065,0,RENT,6500,MEDICAL,13.99,0.12,2,648,1
22,female,Master,64082,0,MORTGAGE,8000,DEBTCONSOLIDATION,15.23,0.12,3,589,0
23,male,Master,56660,0,MORTGAGE,5000,MEDICAL,7.49,0.09,3,608,1
26,male,Bachelor,63978,4,MORTGAGE,15250,PERSONAL,9.63,0.24,2,664,0
25,female,Associate,63889,5,MORTGAGE,7000,HOMEIMPROVEMENT,5.79,0.11,4,660,0
22,male,Associate,73167,0,RENT,6500,PERSONAL,9.25,0.09,2,677,0
22,male,Bachelor,76758,0,RENT,6500,DEBTCONSOLIDATION,11.86,0.08,2,672,0
25,female,Bachelor,80156,5,RENT,6500,DEBTCONSOLIDATION,10.25,0.08,3,725,0
22,female,Associate,64003,1,MORTGAGE,6400,PERSONAL,14.54,0.1,4,643,0
25,female,Bachelor,57073,2,MORTGAGE,2000,PERSONAL,12.69,0.04,3,540,1
25,female,Bachelor,88007,3,RENT,6500,HOMEIMPROVEMENT,7.74,0.07,2,683,0
22,male,Bachelor,63929,2,MORTGAGE,5000,EDUCATION,9.63,0.08,4,607,0
23,male,Associate,64109,0,MORTGAGE,2625,EDUCATION,11.71,0.04,3,657,0
23,female,Bachelor,97267,4,RENT,6500,VENTURE,7.51,0.07,3,670,0
25,female,High School,57142,2,MORTGAGE,6000,MEDICAL,5.42,0.11,4,619,1
22,male,Bachelor,64360,2,OWN,4800,EDUCATION,17.49,0.07,3,629,0
24,female,Associate,111211,3,RENT,6500,EDUCATION,9.88,0.06,3,595,0
23,female,High School,111352,0,RENT,6500,PERSONAL,8.0,0.06,2,633,0
22,female,Master,57573,1,RENT,6550,VENTURE,10.65,0.11,2,686,0
24,male,Master,26741,1,RENT,6600,EDUCATION,12.68,0.25,4,586,1
26,female,Master,57291,0,MORTGAGE,5000,MEDICAL,12.87,0.09,4,671,1
26,female,High School,35609,1,RENT,6600,EDUCATION,11.01,0.19,3,642,0
24,male,Associate,36878,4,RENT,6600,HOMEIMPROVEMENT,13.06,0.18,2,642,1
22,male,High School,37071,2,RENT,6600,MEDICAL,10.33,0.18,2,641,0
26,female,Master,43010,4,RENT,6600,MEDICAL,8.59,0.15,4,638,0
22,female,Master,47824,3,RENT,6600,MEDICAL,11.01,0.14,2,647,0
25,male,Master,64665,5,MORTGAGE,6000,HOMEIMPROVEMENT,6.62,0.09,3,681,0
22,female,Bachelor,51398,0,RENT,6600,MEDICAL,16.89,0.13,3,608,1
26,female,Master,64657,1,OWN,2500,HOMEIMPROVEMENT,9.91,0.04,2,647,0
24,male,Master,64524,4,MORTGAGE,8000,HOMEIMPROVEMENT,6.03,0.12,2,652,0
25,male,Bachelor,57482,5,MORTGAGE,12000,EDUCATION,6.62,0.21,2,640,1
26,male,Master,64333,4,MORTGAGE,11500,MEDICAL,14.65,0.18,4,713,0
26,female,High School,65919,2,RENT,6600,PERSONAL,11.97,0.1,4,601,0
22,male,High School,73248,0,RENT,6600,DEBTCONSOLIDATION,10.59,0.09,2,686,0
26,female,Bachelor,64773,2,MORTGAGE,2800,HOMEIMPROVEMENT,6.03,0.04,4,678,0
22,male,Master,77509,0,RENT,6600,MEDICAL,8.9,0.09,3,572,0
22,male,High School,64798,0,MORTGAGE,5025,DEBTCONSOLIDATION,7.49,0.08,3,648,0
26,female,High School,65007,7,OWN,6000,VENTURE,9.99,0.09,2,659,0
25,female,Bachelor,117172,4,RENT,6600,VENTURE,11.01,0.06,2,646,0
25,male,High School,64356,6,MORTGAGE,12375,VENTURE,13.49,0.19,3,619,0
24,female,Master,64562,0,MORTGAGE,15000,VENTURE,11.01,0.23,2,648,0
25,female,Associate,16991,2,RENT,6625,DEBTCONSOLIDATION,8.63,0.39,3,615,1
23,male,High School,21465,0,RENT,6625,EDUCATION,6.03,0.31,3,595,1
21,male,High School,34659,0,RENT,6625,DEBTCONSOLIDATION,13.06,0.19,2,675,1
22,male,High School,57324,1,MORTGAGE,24000,MEDICAL,10.37,0.42,4,646,1
24,male,Associate,69259,0,RENT,6625,VENTURE,11.22,0.1,4,636,0
24,female,High School,68317,0,RENT,6650,VENTURE,12.69,0.1,2,622,0
21,female,Associate,64263,0,MORTGAGE,18000,VENTURE,13.8,0.28,3,663,0
22,male,Bachelor,14840,1,RENT,6700,EDUCATION,7.66,0.45,4,543,1
21,male,Bachelor,26675,0,RENT,6700,DEBTCONSOLIDATION,6.92,0.25,4,550,1
23,female,Bachelor,31075,2,RENT,6700,EDUCATION,13.8,0.22,3,673,0
22,male,Bachelor,34173,0,RENT,6700,VENTURE,15.31,0.2,3,696,1
22,male,Bachelor,44175,0,RENT,6700,PERSONAL,14.11,0.15,4,694,1
26,male,Master,64699,4,MORTGAGE,8000,DEBTCONSOLIDATION,7.88,0.12,2,621,0
23,male,High School,103373,5,RENT,6700,MEDICAL,15.23,0.06,2,623,0
23,male,Bachelor,57255,0,MORTGAGE,16000,MEDICAL,14.35,0.28,3,687,1
22,male,Associate,64602,0,MORTGAGE,8000,PERSONAL,16.07,0.12,4,584,0
23,female,Bachelor,85359,0,RENT,6725,DEBTCONSOLIDATION,6.62,0.08,2,625,0
25,male,Bachelor,51288,3,RENT,6750,MEDICAL,17.27,0.13,2,502,1
25,female,High School,91035,3,RENT,6775,VENTURE,7.9,0.07,4,661,0
26,male,Master,64860,3,OWN,16000,PERSONAL,10.25,0.25,2,635,0
24,male,Master,64653,3,OWN,9800,HOMEIMPROVEMENT,7.51,0.15,4,644,0
22,female,Bachelor,34358,2,RENT,6800,MEDICAL,8.49,0.2,3,670,0
22,female,Associate,35790,0,RENT,6800,VENTURE,10.59,0.19,2,608,0
22,male,Bachelor,64923,1,MORTGAGE,10000,EDUCATION,17.39,0.15,3,686,0
24,male,Master,37614,1,RENT,6800,EDUCATION,20.0,0.18,3,612,1
22,male,High School,39160,0,RENT,6800,VENTURE,14.11,0.17,2,559,1
23,male,High School,56174,0,RENT,6800,VENTURE,15.65,0.12,4,666,1
23,female,High School,57332,1,RENT,6800,HOMEIMPROVEMENT,10.65,0.12,2,535,1
25,female,Bachelor,64752,1,MORTGAGE,4800,VENTURE,5.42,0.07,2,687,0
23,male,Bachelor,59147,1,RENT,6800,PERSONAL,6.54,0.11,4,574,1
22,male,Associate,64926,0,MORTGAGE,1500,EDUCATION,13.79,0.02,2,672,0
23,male,Associate,67156,0,RENT,6800,VENTURE,11.49,0.1,2,662,0
24,female,Associate,73058,3,RENT,6800,VENTURE,7.51,0.09,2,574,0
23,male,Master,57449,0,MORTGAGE,25000,MEDICAL,7.49,0.44,3,705,1
25,female,Master,116378,0,RENT,6500,MEDICAL,14.61,0.06,2,655,1
23,male,Bachelor,96701,2,RENT,6475,PERSONAL,6.99,0.07,3,496,1
26,male,Associate,58104,1,MORTGAGE,6000,HOMEIMPROVEMENT,14.61,0.1,3,672,1
22,male,High School,36054,0,RENT,6450,HOMEIMPROVEMENT,11.01,0.18,3,637,1
25,male,High School,38245,3,RENT,6450,HOMEIMPROVEMENT,14.42,0.17,3,691,1
24,male,High School,85055,2,RENT,6425,MEDICAL,13.72,0.08,2,631,0
23,female,Associate,65297,0,MORTGAGE,2000,DEBTCONSOLIDATION,9.62,0.03,4,590,0
21,male,High School,24786,0,RENT,6400,PERSONAL,10.99,0.26,3,522,1
22,female,Master,29941,0,RENT,6400,EDUCATION,11.01,0.21,3,552,0
23,female,Master,30829,0,RENT,6400,EDUCATION,12.84,0.21,3,636,0
24,male,Associate,34328,0,RENT,6400,VENTURE,14.75,0.19,2,619,0
22,male,Bachelor,35930,3,RENT,6400,EDUCATION,11.01,0.18,4,710,0
25,male,Associate,35939,6,RENT,6400,HOMEIMPROVEMENT,16.29,0.18,2,511,1
23,female,Associate,37183,0,RENT,6400,EDUCATION,6.99,0.17,4,626,0
22,male,Master,37042,1,RENT,6400,HOMEIMPROVEMENT,15.99,0.17,2,597,1
22,male,Bachelor,37187,2,RENT,6400,DEBTCONSOLIDATION,16.0,0.17,3,596,1
23,female,Associate,65666,0,MORTGAGE,8600,EDUCATION,6.03,0.13,3,603,0
25,male,Bachelor,38067,4,RENT,6400,MEDICAL,11.49,0.17,4,541,0
26,female,Bachelor,38684,0,RENT,6400,VENTURE,7.51,0.17,3,615,0
23,male,Associate,58085,0,MORTGAGE,18000,MEDICAL,10.95,0.31,3,609,1
22,female,Associate,65917,1,MORTGAGE,6000,PERSONAL,8.9,0.09,2,644,0
22,male,High School,65826,0,OWN,6400,PERSONAL,9.62,0.1,4,612,0
24,female,Bachelor,40625,3,RENT,6400,MEDICAL,9.99,0.16,2,605,0
26,female,High School,42121,8,RENT,6400,HOMEIMPROVEMENT,17.49,0.15,3,553,1
26,female,High School,66035,1,MORTGAGE,5000,EDUCATION,6.62,0.08,2,646,0
21,male,Associate,43208,0,RENT,6400,MEDICAL,12.69,0.15,4,672,0
22,male,High School,35804,2,RENT,6400,DEBTCONSOLIDATION,15.95,0.18,4,676,1
23,male,Bachelor,65487,0,MORTGAGE,6000,MEDICAL,6.03,0.09,4,642,0
26,male,Associate,46166,2,RENT,6400,PERSONAL,9.88,0.14,2,618,0
25,male,High School,65881,3,OWN,15000,EDUCATION,11.01,0.23,4,640,0
22,female,Associate,65809,1,MORTGAGE,7000,MEDICAL,10.65,0.11,4,679,0
23,female,Bachelor,65724,3,MORTGAGE,8500,VENTURE,12.42,0.13,2,592,0
22,female,Bachelor,46652,2,RENT,6400,DEBTCONSOLIDATION,20.0,0.14,3,664,1
25,female,Master,65852,4,MORTGAGE,7000,VENTURE,18.64,0.11,3,688,0
26,female,Master,56121,5,RENT,6400,MEDICAL,9.67,0.11,4,682,0
23,female,Associate,65560,0,MORTGAGE,5000,DEBTCONSOLIDATION,9.99,0.08,3,587,0
26,female,Associate,58786,5,MORTGAGE,15000,EDUCATION,5.99,0.26,2,627,1
24,female,Associate,65925,0,MORTGAGE,5000,PERSONAL,5.42,0.08,4,643,0
22,female,Bachelor,58475,1,MORTGAGE,6500,VENTURE,15.99,0.11,2,535,1
23,male,High School,65742,0,MORTGAGE,1400,DEBTCONSOLIDATION,5.42,0.02,4,636,0
25,male,High School,60776,5,RENT,6400,HOMEIMPROVEMENT,9.91,0.11,4,632,0
25,male,Bachelor,58686,4,MORTGAGE,2250,PERSONAL,8.49,0.04,3,675,1
23,female,High School,61320,1,RENT,6400,EDUCATION,20.0,0.1,2,586,0
21,male,High School,58379,0,MORTGAGE,18000,DEBTCONSOLIDATION,15.62,0.31,3,589,1
23,male,Bachelor,60813,0,RENT,6400,VENTURE,6.91,0.11,2,606,0
24,female,Bachelor,60175,1,RENT,6400,MEDICAL,11.01,0.11,3,672,1
22,male,Associate,65436,0,OWN,2000,VENTURE,10.99,0.03,3,678,0
25,male,Bachelor,65517,3,MORTGAGE,12000,PERSONAL,16.49,0.18,3,706,0
24,male,Associate,65604,2,MORTGAGE,8000,PERSONAL,10.99,0.12,3,646,0
24,male,Bachelor,73205,5,RENT,6400,DEBTCONSOLIDATION,11.01,0.09,4,728,0
24,male,Bachelor,65728,2,MORTGAGE,4000,VENTURE,5.42,0.06,2,684,0
24,male,High School,65674,0,MORTGAGE,11000,VENTURE,5.42,0.17,2,670,0
24,male,Bachelor,78536,5,RENT,6400,DEBTCONSOLIDATION,10.65,0.08,2,614,0
21,female,Bachelor,84775,0,RENT,6400,PERSONAL,17.49,0.08,4,593,0
25,female,Associate,65729,2,MORTGAGE,13000,HOMEIMPROVEMENT,6.92,0.2,4,639,0
22,female,Associate,86831,0,RENT,6400,EDUCATION,13.11,0.07,2,568,0
22,male,Bachelor,87528,0,RENT,6400,EDUCATION,6.91,0.07,2,640,0
26,male,High School,83748,4,RENT,6400,EDUCATION,16.4,0.08,4,590,1
21,male,High School,65988,2,OWN,20000,VENTURE,10.74,0.3,2,658,0
25,male,Associate,65667,4,MORTGAGE,5100,DEBTCONSOLIDATION,9.62,0.08,4,650,0
25,female,Associate,65844,4,MORTGAGE,6000,EDUCATION,6.17,0.09,4,664,0
25,male,Bachelor,133790,3,RENT,6400,VENTURE,13.67,0.05,3,655,0
22,female,High School,65405,0,MORTGAGE,13200,DEBTCONSOLIDATION,9.99,0.2,4,653,0
22,male,Bachelor,65663,0,MORTGAGE,12000,EDUCATION,12.23,0.18,3,693,0
23,male,Bachelor,58716,4,MORTGAGE,1400,MEDICAL,14.83,0.02,2,701,1
24,male,High School,90080,2,RENT,6800,DEBTCONSOLIDATION,20.0,0.08,2,666,1
26,male,Associate,58902,7,MORTGAGE,5000,MEDICAL,7.14,0.08,2,579,1
22,female,Associate,65908,1,MORTGAGE,4000,MEDICAL,13.98,0.06,4,587,0
23,male,Associate,149673,1,RENT,6800,DEBTCONSOLIDATION,6.03,0.05,2,671,0
26,male,Associate,44903,2,RENT,6825,VENTURE,7.49,0.15,2,609,0
25,female,Master,51196,2,RENT,6850,VENTURE,11.01,0.13,4,667,0
22,male,Associate,57573,3,RENT,6850,DEBTCONSOLIDATION,10.65,0.12,4,668,1
23,female,Bachelor,65923,4,MORTGAGE,10000,EDUCATION,11.49,0.15,4,667,0
22,female,High School,73025,0,RENT,6850,EDUCATION,7.14,0.09,2,630,0
22,female,Bachelor,34425,2,RENT,6900,DEBTCONSOLIDATION,9.99,0.2,3,639,0
24,female,Bachelor,40223,2,RENT,6900,HOMEIMPROVEMENT,17.56,0.17,3,583,1
23,male,Associate,65448,2,OWN,6000,VENTURE,7.51,0.09,3,629,0
23,male,High School,58629,0,MORTGAGE,16800,DEBTCONSOLIDATION,14.59,0.29,2,603,1
25,female,Master,65561,1,MORTGAGE,16000,PERSONAL,11.01,0.24,4,660,0
23,female,Bachelor,65821,1,MORTGAGE,10000,VENTURE,9.88,0.15,2,632,0
21,male,Associate,30733,0,RENT,6925,EDUCATION,11.71,0.23,3,629,0
26,female,Master,65927,3,MORTGAGE,14000,PERSONAL,7.88,0.21,3,642,0
26,male,Associate,41510,1,RENT,6925,DEBTCONSOLIDATION,15.99,0.17,3,561,1
21,male,Associate,58454,0,MORTGAGE,3500,EDUCATION,10.25,0.06,3,618,1
24,male,Bachelor,66162,1,OWN,1200,EDUCATION,13.11,0.02,3,686,0
24,female,Associate,66079,0,OWN,10000,PERSONAL,10.99,0.15,3,665,0
25,male,Associate,65811,5,OWN,8000,HOMEIMPROVEMENT,11.83,0.12,3,658,0
21,male,Associate,32432,0,RENT,7000,PERSONAL,14.84,0.22,3,638,1
24,female,Bachelor,66012,5,MORTGAGE,8700,VENTURE,7.05,0.13,4,690,0
24,female,High School,65899,0,MORTGAGE,9000,MEDICAL,11.14,0.14,4,653,0
22,female,Associate,66013,1,MORTGAGE,7000,PERSONAL,8.94,0.11,2,577,0
24,female,High School,34285,2,RENT,7000,PERSONAL,15.62,0.2,4,590,1
22,male,High School,58543,0,MORTGAGE,12000,EDUCATION,16.0,0.2,4,571,1
23,female,High School,65519,0,MORTGAGE,13650,EDUCATION,11.01,0.21,2,609,0
26,female,Bachelor,35426,0,RENT,7000,MEDICAL,5.42,0.2,4,613,0
21,female,Master,37353,0,RENT,7000,PERSONAL,10.99,0.19,2,608,1
22,male,Master,36699,0,RENT,7000,DEBTCONSOLIDATION,16.49,0.19,3,638,1
24,male,Master,66320,5,MORTGAGE,8000,PERSONAL,8.63,0.12,4,626,0
22,female,Bachelor,36954,3,RENT,7000,MEDICAL,9.62,0.19,4,647,1
25,female,Associate,37218,1,RENT,7000,MEDICAL,10.62,0.19,3,654,0
25,male,High School,37333,4,RENT,7000,MEDICAL,7.74,0.19,2,571,0
22,male,High School,36879,2,RENT,7000,MEDICAL,17.58,0.19,2,524,1
25,male,High School,66043,0,MORTGAGE,8000,PERSONAL,6.92,0.12,4,574,0
24,male,Associate,66414,2,MORTGAGE,3300,HOMEIMPROVEMENT,7.66,0.05,2,659,0
24,female,High School,59120,2,MORTGAGE,9800,DEBTCONSOLIDATION,15.7,0.17,2,545,1
25,female,Master,66380,2,MORTGAGE,12000,HOMEIMPROVEMENT,9.63,0.18,4,623,0
23,male,High School,39521,1,RENT,7000,HOMEIMPROVEMENT,14.26,0.18,4,623,1
22,female,Associate,40408,1,RENT,7000,VENTURE,7.29,0.17,3,601,0
22,female,Associate,58975,0,MORTGAGE,12000,EDUCATION,12.42,0.2,4,646,1
26,male,High School,66431,6,MORTGAGE,4800,PERSONAL,11.01,0.07,2,598,0
24,male,Master,59036,0,MORTGAGE,8000,EDUCATION,11.01,0.14,4,699,1
22,female,High School,40983,0,RENT,7000,DEBTCONSOLIDATION,11.01,0.17,2,557,0
24,female,High School,40928,4,RENT,7000,MEDICAL,14.27,0.17,3,645,1
24,female,Associate,41172,1,RENT,7000,PERSONAL,13.61,0.17,4,668,0
26,female,Associate,41547,6,RENT,7000,VENTURE,8.0,0.17,2,672,0
24,male,Master,41841,0,RENT,7000,DEBTCONSOLIDATION,13.16,0.17,3,708,1
23,female,Bachelor,42416,2,RENT,7000,PERSONAL,10.99,0.17,4,660,0
23,male,Associate,42918,1,RENT,7000,MEDICAL,11.99,0.16,2,650,1
22,female,Bachelor,66699,0,OWN,8000,EDUCATION,11.01,0.12,2,684,0
24,male,Bachelor,43136,0,RENT,7000,MEDICAL,12.69,0.16,2,582,0
26,female,Associate,66875,2,MORTGAGE,5000,EDUCATION,16.82,0.07,4,659,0
25,male,High School,59746,1,MORTGAGE,6000,PERSONAL,15.23,0.1,3,646,1
23,female,High School,42867,0,RENT,7000,EDUCATION,10.99,0.16,3,644,0
22,male,Bachelor,66889,2,MORTGAGE,25000,DEBTCONSOLIDATION,12.42,0.37,2,675,0
23,male,Master,67132,3,MORTGAGE,2100,EDUCATION,11.49,0.03,3,691,0
21,female,High School,42781,0,RENT,7000,VENTURE,11.34,0.16,3,623,0
21,male,High School,35775,0,RENT,7000,MEDICAL,12.61,0.2,2,583,1
22,male,Bachelor,36375,0,RENT,7000,EDUCATION,14.22,0.19,3,624,1
24,male,Bachelor,44144,1,RENT,7000,MEDICAL,6.03,0.16,3,668,0
23,male,Associate,44117,1,RENT,7000,VENTURE,10.65,0.16,2,632,0
22,female,High School,67040,0,MORTGAGE,12000,EDUCATION,9.63,0.18,2,508,0
25,female,Bachelor,36942,0,RENT,7000,EDUCATION,11.01,0.19,2,499,1
26,female,Bachelor,44405,1,RENT,7000,VENTURE,8.94,0.16,3,677,0
23,male,Associate,38230,0,RENT,7000,HOMEIMPROVEMENT,11.01,0.18,3,611,1
25,male,Master,45647,7,RENT,7000,VENTURE,7.14,0.15,4,649,0
21,female,Associate,59839,0,MORTGAGE,15000,VENTURE,15.58,0.25,3,610,1
25,male,Bachelor,59829,0,MORTGAGE,5000,PERSONAL,9.88,0.08,2,595,1
22,male,Associate,39441,0,RENT,7000,PERSONAL,11.01,0.18,4,660,1
26,female,Bachelor,46770,2,RENT,7000,EDUCATION,7.51,0.15,3,630,0
25,male,Master,47128,2,RENT,7000,DEBTCONSOLIDATION,9.99,0.15,2,680,0
21,male,Associate,48823,0,RENT,7000,EDUCATION,14.96,0.14,2,688,0
22,female,Associate,59391,0,OTHER,10000,DEBTCONSOLIDATION,14.11,0.17,4,569,1
24,female,Bachelor,66925,0,OWN,12000,VENTURE,11.26,0.18,3,609,0
22,male,Associate,48769,0,RENT,7000,DEBTCONSOLIDATION,10.65,0.14,2,697,0
22,male,High School,48763,1,RENT,7000,EDUCATION,11.99,0.14,4,663,0
22,female,Associate,48556,0,RENT,7000,DEBTCONSOLIDATION,11.11,0.14,3,666,0
25,male,Associate,48477,2,RENT,7000,DEBTCONSOLIDATION,8.94,0.14,3,680,0
24,female,High School,41706,1,RENT,7000,EDUCATION,17.04,0.17,2,625,1
23,female,Bachelor,66831,0,MORTGAGE,7200,VENTURE,11.71,0.11,3,706,0
23,male,High School,67116,5,MORTGAGE,7500,PERSONAL,7.51,0.11,2,674,0
23,female,Bachelor,49133,2,RENT,7000,MEDICAL,11.58,0.14,3,685,0
24,male,Master,49174,6,RENT,7000,EDUCATION,11.34,0.14,2,619,0
24,male,Bachelor,48960,1,RENT,7000,MEDICAL,13.23,0.14,3,522,0
23,female,Associate,42200,3,RENT,7000,DEBTCONSOLIDATION,18.3,0.17,3,632,1
22,male,Master,43352,0,RENT,7000,MEDICAL,18.09,0.16,2,672,1
26,female,Bachelor,66880,5,MORTGAGE,11500,EDUCATION,8.9,0.17,4,671,0
22,male,Bachelor,51331,1,RENT,7000,EDUCATION,14.27,0.14,2,661,0
23,female,High School,67213,0,MORTGAGE,6500,VENTURE,7.9,0.1,3,652,0
23,male,Bachelor,66971,0,MORTGAGE,6625,PERSONAL,16.77,0.1,3,591,0
26,female,High School,44060,2,RENT,7000,MEDICAL,13.98,0.16,2,612,1
26,female,Bachelor,44113,4,RENT,7000,DEBTCONSOLIDATION,14.96,0.16,4,628,1
23,female,High School,51166,5,RENT,7000,EDUCATION,7.88,0.14,3,643,0
25,male,High School,67168,4,MORTGAGE,5000,VENTURE,9.91,0.07,4,663,0
22,male,High School,44754,1,RENT,7000,MEDICAL,9.99,0.16,4,588,1
25,male,Bachelor,59530,0,MORTGAGE,18200,MEDICAL,11.99,0.31,4,662,1
26,female,Bachelor,52378,2,RENT,7000,MEDICAL,7.29,0.13,4,679,0
22,male,Associate,45416,0,RENT,7000,DEBTCONSOLIDATION,7.9,0.15,4,571,1
22,female,High School,67104,0,OWN,4800,MEDICAL,11.99,0.07,2,653,0
23,male,Bachelor,59512,0,MORTGAGE,11400,VENTURE,17.99,0.19,4,597,1
22,male,Bachelor,66806,2,MORTGAGE,9500,MEDICAL,7.49,0.14,3,699,0
22,male,Associate,47729,0,RENT,7000,PERSONAL,8.9,0.15,3,626,1
25,male,High School,59504,2,MORTGAGE,7000,EDUCATION,11.01,0.12,4,581,1
23,male,High School,47988,0,RENT,7000,VENTURE,16.77,0.15,3,610,1
21,female,High School,59770,0,MORTGAGE,2000,MEDICAL,11.99,0.03,2,610,1
26,female,Master,66738,4,MORTGAGE,2800,VENTURE,13.49,0.04,2,671,0
25,male,Bachelor,54870,1,RENT,7000,EDUCATION,10.99,0.13,2,709,0
24,male,Associate,54809,4,RENT,7000,VENTURE,5.42,0.13,4,598,0
24,male,Bachelor,47802,5,RENT,7000,PERSONAL,14.42,0.15,4,596,1
26,male,Associate,55949,6,RENT,7000,MEDICAL,9.99,0.13,3,628,0
22,male,High School,67345,4,MORTGAGE,13500,MEDICAL,9.67,0.2,2,654,0
24,male,Master,67221,2,MORTGAGE,8000,DEBTCONSOLIDATION,8.49,0.12,3,631,0
25,male,Bachelor,67302,4,OWN,6000,PERSONAL,15.23,0.09,3,666,0
21,male,Bachelor,57371,1,RENT,7000,VENTURE,14.96,0.12,3,653,0
23,female,Associate,67043,0,MORTGAGE,8000,MEDICAL,7.49,0.12,4,642,0
23,female,High School,67030,0,MORTGAGE,10000,MEDICAL,13.99,0.15,3,615,0
22,male,Bachelor,50898,0,RENT,7000,VENTURE,15.7,0.14,3,682,1
23,male,High School,58467,2,RENT,7000,EDUCATION,8.94,0.12,3,617,0
23,female,High School,67293,1,MORTGAGE,5000,EDUCATION,11.11,0.07,2,609,0
24,female,Master,66723,3,MORTGAGE,9600,EDUCATION,11.01,0.14,3,643,0
26,male,Master,61037,3,RENT,7000,VENTURE,9.63,0.11,2,671,0
23,male,High School,67013,3,MORTGAGE,15000,PERSONAL,6.17,0.22,2,590,0
22,male,High School,59480,0,MORTGAGE,10000,PERSONAL,5.79,0.17,4,636,1
21,female,High School,53492,0,RENT,7000,HOMEIMPROVEMENT,11.46,0.13,2,619,1
26,male,Bachelor,60755,3,RENT,7000,PERSONAL,11.01,0.12,4,697,0
21,female,Bachelor,54898,0,RENT,7000,PERSONAL,14.96,0.13,4,662,1
22,male,Associate,61970,0,RENT,7000,VENTURE,12.18,0.11,2,579,0
23,female,Bachelor,63291,1,RENT,7000,EDUCATION,10.65,0.11,2,575,0
24,male,High School,67049,0,MORTGAGE,6000,HOMEIMPROVEMENT,5.42,0.09,3,600,0
25,male,Master,63385,0,RENT,7000,HOMEIMPROVEMENT,10.59,0.11,2,671,0
22,male,Bachelor,66846,1,MORTGAGE,12000,EDUCATION,6.54,0.18,4,687,0
21,male,Bachelor,63023,0,RENT,7000,EDUCATION,7.49,0.11,4,664,0
26,male,Bachelor,63507,4,RENT,7000,EDUCATION,7.88,0.11,3,660,0
26,female,Associate,59573,4,MORTGAGE,13000,DEBTCONSOLIDATION,16.45,0.22,3,648,1
23,male,Associate,67358,0,OWN,1000,VENTURE,11.49,0.01,4,634,0
22,male,Master,65866,4,RENT,7000,EDUCATION,13.47,0.11,2,697,0
24,female,Associate,66996,5,MORTGAGE,3000,DEBTCONSOLIDATION,11.12,0.04,2,555,0
24,male,Associate,59756,2,RENT,7000,EDUCATION,7.49,0.12,3,568,1
21,male,Bachelor,67116,0,MORTGAGE,10000,EDUCATION,14.72,0.15,2,626,0
23,male,High School,59787,0,MORTGAGE,5000,MEDICAL,15.21,0.08,2,628,1
25,male,High School,107854,5,RENT,7000,EDUCATION,10.99,0.06,3,552,0
26,male,Master,108920,0,RENT,7000,PERSONAL,13.49,0.06,3,617,0
26,male,Bachelor,66957,2,MORTGAGE,13000,DEBTCONSOLIDATION,13.98,0.19,3,594,0
26,male,Bachelor,66967,2,MORTGAGE,3000,MEDICAL,6.76,0.04,2,650,0
22,female,High School,18121,0,RENT,7200,DEBTCONSOLIDATION,11.71,0.4,4,611,1
22,male,Bachelor,26036,4,RENT,7200,DEBTCONSOLIDATION,6.91,0.28,4,539,1
26,male,Bachelor,27234,7,RENT,7200,VENTURE,10.38,0.26,3,624,1
25,male,Master,27892,4,RENT,7200,VENTURE,5.79,0.26,2,656,1
24,female,Associate,28973,5,RENT,7200,DEBTCONSOLIDATION,12.69,0.25,2,624,1
21,male,High School,67349,2,MORTGAGE,10000,PERSONAL,10.25,0.15,2,622,0
23,male,Associate,31280,2,RENT,7200,EDUCATION,11.86,0.23,4,670,1
23,female,Master,34478,0,RENT,7200,PERSONAL,9.99,0.21,2,620,0
22,male,Associate,34387,2,RENT,7200,MEDICAL,10.59,0.21,3,559,0
22,female,High School,59890,1,MORTGAGE,8000,EDUCATION,10.25,0.13,4,620,1
22,male,Associate,36727,0,RENT,7200,VENTURE,11.71,0.2,3,659,0
22,female,High School,36715,0,RENT,7200,MEDICAL,8.9,0.2,2,633,1
21,male,Associate,39065,0,RENT,7200,DEBTCONSOLIDATION,11.71,0.18,4,678,1
25,male,Bachelor,39751,5,RENT,7200,MEDICAL,12.84,0.18,4,696,0
22,male,High School,66391,0,OWN,5000,DEBTCONSOLIDATION,14.61,0.08,2,599,0
23,male,Associate,59747,0,MORTGAGE,15000,PERSONAL,19.82,0.25,2,637,1
25,male,High School,43222,1,RENT,7200,MEDICAL,8.9,0.17,3,666,0
23,male,Master,67065,0,MORTGAGE,7000,EDUCATION,8.59,0.1,2,702,0
24,female,Master,66701,2,MORTGAGE,5500,VENTURE,8.59,0.08,3,648,0
25,female,High School,66710,3,OWN,10000,EDUCATION,13.57,0.15,2,580,0
22,male,Associate,67156,2,OWN,2000,PERSONAL,7.4,0.03,3,558,0
21,male,Associate,43039,0,RENT,7200,DEBTCONSOLIDATION,12.69,0.17,3,647,0
